Campaign,Budget,Budget type,Bid Strategy Type,Campaign Status,Ad Group,Ad Group Status,Keyword,Criterion Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Final URL,Location
RC - Search - Mount Gambier,25,Daily,Maximize Conversions,Enabled,,,,,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,,,,,,,,,,,Australia/SA/5290
RC - Search - Mount Gambier,,,,,,,,,,,,,,,,,Australia/SA/5291
RC - Search - Mount Gambier,,,,,,,-payday loans,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,-centrelink loan,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,-cash converters,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,-pawn shop,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,-no credit check,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,-free money,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,,,-bankruptcy loan,Negative Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Line of Credit,Enabled,,,,,,,,,,,
RC - Search - Mount Gambier,,,,,Line of Credit,,line of credit mount gambier,Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Line of Credit,,line of credit mount gambier,Phrase,,,,,,,,,
RC - Search - Mount Gambier,,,,,Line of Credit,,flexible line of credit mount gambier,Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Line of Credit,,revolving credit mount gambier,Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Line of Credit,,,Responsive search ad,Mount Gambier Line of Credit,"Flexible Cash $2,000 - $10,000",$0 Setup & $0 Monthly Fees,Apply Online in 2 Minutes,Fast Regional Agent Callback,Mount Gambier dedicated personal line of credit. $0 setup fees & fast digital pre-approval.,"Borrow up to $10,000 with flexible redraws. Licensed SA provider ACL 525087.",https://regionalcredit.au,
RC - Search - Mount Gambier,,,,,Personal Loans,Enabled,,,,,,,,,,,
RC - Search - Mount Gambier,,,,,Personal Loans,,personal loan mount gambier,Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Personal Loans,,personal loan mount gambier,Phrase,,,,,,,,,
RC - Search - Mount Gambier,,,,,Personal Loans,,cash loan mount gambier,Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Personal Loans,,fast cash mount gambier,Exact,,,,,,,,,
RC - Search - Mount Gambier,,,,,Personal Loans,,,Responsive search ad,Mount Gambier Line of Credit,"Flexible Cash $2,000 - $10,000",$0 Setup & $0 Monthly Fees,Apply Online in 2 Minutes,Fast Regional Agent Callback,Mount Gambier dedicated personal line of credit. $0 setup fees & fast digital pre-approval.,"Borrow up to $10,000 with flexible redraws. Licensed SA provider ACL 525087.",https://regionalcredit.au,
RC - Search - Whyalla,25,Daily,Maximize Conversions,Enabled,,,,,,,,,,,,,
RC - Search - Whyalla,,,,,,,,,,,,,,,,,Australia/SA/5600
RC - Search - Whyalla,,,,,,,,,,,,,,,,,Australia/SA/5608
RC - Search - Whyalla,,,,,,,-payday loans,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,,,-centrelink loan,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,,,-cash converters,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,,,-pawn shop,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,,,-no credit check,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,,,-free money,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,,,-bankruptcy loan,Negative Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Line of Credit,Enabled,,,,,,,,,,,
RC - Search - Whyalla,,,,,Line of Credit,,line of credit whyalla,Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Line of Credit,,line of credit whyalla,Phrase,,,,,,,,,
RC - Search - Whyalla,,,,,Line of Credit,,mobile line of credit whyalla,Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Line of Credit,,revolving credit whyalla,Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Line of Credit,,,Responsive search ad,Whyalla Mobile Line of Credit,100% Online Approval Whyalla,"$2,000 to $10,000 Cash Line",Zero Branch Visits Needed,Fast Bank Transfer Today,100% online line of credit for Whyalla residents. Apply on your phone in under 2 minutes.,$0 establishment fees. Pay interest only on what you draw. ACL #525087.,https://regionalcreditonline.com.au,
RC - Search - Whyalla,,,,,Personal Loans,Enabled,,,,,,,,,,,
RC - Search - Whyalla,,,,,Personal Loans,,personal loan whyalla,Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Personal Loans,,personal loan whyalla,Phrase,,,,,,,,,
RC - Search - Whyalla,,,,,Personal Loans,,fast cash whyalla,Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Personal Loans,,online loan whyalla,Exact,,,,,,,,,
RC - Search - Whyalla,,,,,Personal Loans,,,Responsive search ad,Whyalla Mobile Line of Credit,100% Online Approval Whyalla,"$2,000 to $10,000 Cash Line",Zero Branch Visits Needed,Fast Bank Transfer Today,100% online line of credit for Whyalla residents. Apply on your phone in under 2 minutes.,$0 establishment fees. Pay interest only on what you draw. ACL #525087.,https://regionalcreditonline.com.au,
RC - Search - Port Pirie,20,Daily,Maximize Conversions,Enabled,,,,,,,,,,,,,
RC - Search - Port Pirie,,,,,,,,,,,,,,,,,Australia/SA/5540
RC - Search - Port Pirie,,,,,,,-payday loans,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,,,-centrelink loan,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,,,-cash converters,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,,,-pawn shop,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,,,-no credit check,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,,,-free money,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,,,-bankruptcy loan,Negative Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,Line of Credit,Enabled,,,,,,,,,,,
RC - Search - Port Pirie,,,,,Line of Credit,,line of credit port pirie,Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,Line of Credit,,line of credit port pirie,Phrase,,,,,,,,,
RC - Search - Port Pirie,,,,,Line of Credit,,direct cash line port pirie,Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,Line of Credit,,,Responsive search ad,Port Pirie Direct Cash Line,Same-Day Agent Callbacks,Flexible Credit $2k - $10k,90-Day Digital Bank Check,ACL #525087 Licensed Provider,Direct regional agent credit line serving Port Pirie. Fast pre-qualification online.,"No upfront fees, flexible redraws, fast payout. Apply online in 2 minutes.",https://regionalcreditdirect.com.au,
RC - Search - Port Pirie,,,,,Personal Loans,Enabled,,,,,,,,,,,
RC - Search - Port Pirie,,,,,Personal Loans,,personal loan port pirie,Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,Personal Loans,,personal loan port pirie,Phrase,,,,,,,,,
RC - Search - Port Pirie,,,,,Personal Loans,,fast cash port pirie,Exact,,,,,,,,,
RC - Search - Port Pirie,,,,,Personal Loans,,quick cash port pirie,Exact,,,,,,,,,
